Unnamed: 0,location_x,location_y,remaining_min,power_of_shot,knockout_match,remaining_sec,distance_of_shot,is_goal,area_of_shot,shot_basics,range_of_shot,shot_id_number
0,167.0,72.0,10.0,1.0,0.0,27.0,38.0,,5,4,0,1
1,-157.0,0.0,10.0,1.0,0.0,22.0,35.0,0.0,2,4,2,2
2,-101.0,135.0,7.0,1.0,0.0,45.0,36.0,1.0,1,4,0,3
3,138.0,175.0,6.0,1.0,0.0,52.0,42.0,0.0,4,4,0,4
4,0.0,0.0,4.883233224643899,2.0,0.0,19.0,20.0,1.0,0,0,4,5
5,-145.0,-11.0,9.0,3.0,0.0,32.0,34.0,0.0,2,4,2,6
6,0.0,0.0,8.0,3.0,0.0,52.0,20.0,1.0,0,0,4,7
7,1.0,28.0,8.0,3.0,0.0,5.0,22.0,,0,0,4,8
8,-65.0,74.0,6.0,3.0,0.0,12.0,32.0,1.0,2,1,2,9
9,-33.0,74.0,3.0,3.0,0.0,36.0,32.0,0.0,0,1,2,10
10,-94.0,238.0,1.0,3.0,0.0,56.0,45.0,0.0,1,5,1,11
11,121.0,127.0,11.0,1.0,0.0,0.0,37.0,1.0,4,4,0,12
12,-67.0,74.0,7.0,1.0,0.0,28.329381850668316,35.0,1.0,2,1,2,13
13,-94.0,4.0,4.883233224643899,1.0,0.0,44.0,29.0,0.0,2,4,2,14
14,-23.0,47.0,1.0,1.0,0.0,16.0,25.0,0.0,0,1,4,15
15,0.0,192.0,0.0,1.0,0.0,28.329381850668316,40.0,0.0,0,4,0,16
16,0.0,0.0,0.0,1.0,0.0,1.0,20.0,,-1,0,4,17
17,-117.0,226.0,8.0,2.0,0.0,50.0,45.0,1.0,1,-1,-1,18
18,0.0,97.0,11.0,3.0,0.0,29.0,36.0,0.0,1,4,0,19
19,0.0,0.0,10.0,3.0,0.0,46.0,20.0,,0,-1,4,20
20,3.0,144.0,10.0,3.0,0.0,8.0,34.0,0.0,0,4,2,21
21,134.0,127.0,9.0,3.0,0.0,4.0,38.0,,4,4,0,22
22,-16.0,110.0,7.0,3.0,0.0,57.0,31.0,1.0,0,1,2,23
23,-109.0,150.0,5.0,3.0,0.0,47.0,38.0,1.0,1,4,0,24
24,-46.0,63.0,5.0,3.0,0.0,11.0,27.0,1.0,0,1,4,25
