Unnamed: 0,location_x,location_y,remaining_min,power_of_shot,knockout_match,remaining_sec,distance_of_shot,is_goal,area_of_shot,shot_basics,range_of_shot,home/away,shot_id_number,type_of_shot
1,-157.0,0.0,10.0,1.0,0.0,22.0,35.0,0.0,2,4,2,0,2,40
2,-101.0,135.0,7.0,1.0,0.0,45.0,36.0,1.0,1,4,0,0,3,18
3,138.0,175.0,6.0,1.0,0.0,52.0,42.0,0.0,4,4,0,0,4,23
4,0.0,0.0,4.883233224643899,2.0,0.0,19.0,20.0,1.0,0,0,4,0,5,1
5,-145.0,-11.0,9.0,3.0,0.0,32.0,34.0,0.0,2,4,2,0,6,9
6,0.0,0.0,8.0,3.0,0.0,52.0,20.0,1.0,0,0,4,0,7,34
8,-65.0,74.0,6.0,3.0,0.0,12.0,32.0,1.0,2,1,2,0,9,30
9,-33.0,74.0,3.0,3.0,0.0,36.0,32.0,0.0,0,1,2,0,10,39
10,-94.0,238.0,1.0,3.0,0.0,56.0,45.0,0.0,1,5,1,0,11,54
11,121.0,127.0,11.0,1.0,0.0,0.0,37.0,1.0,4,4,0,1,12,23
12,-67.0,74.0,7.0,1.0,0.0,28.329381850668316,35.0,1.0,2,1,2,1,13,39
13,-94.0,4.0,4.883233224643899,1.0,0.0,44.0,29.0,0.0,2,4,2,1,14,23
14,-23.0,47.0,1.0,1.0,0.0,16.0,25.0,0.0,0,1,4,1,15,4
15,0.0,192.0,0.0,1.0,0.0,28.329381850668316,40.0,0.0,0,4,0,1,16,23
17,-117.0,226.0,8.0,2.0,0.0,50.0,45.0,1.0,1,0,4,1,18,53
18,0.0,97.0,11.0,3.0,0.0,29.0,36.0,0.0,1,4,0,1,19,23
20,3.0,144.0,10.0,3.0,0.0,8.0,34.0,0.0,0,4,2,1,21,13
22,-16.0,110.0,7.0,3.0,0.0,57.0,31.0,1.0,0,1,2,1,23,39
23,-109.0,150.0,5.0,3.0,0.0,47.0,38.0,1.0,1,4,0,1,24,23
24,-46.0,63.0,5.0,3.0,0.0,11.0,27.0,1.0,0,1,4,1,25,23
25,0.0,0.0,2.0,3.0,0.0,36.0,20.0,0.0,0,0,4,1,26,34
26,0.0,196.0,2.0,3.0,0.0,4.0,40.0,0.0,0,4,0,1,27,24
27,-183.0,186.0,0.0,3.0,0.0,30.0,46.0,0.0,1,5,1,1,28,50
28,85.0,173.0,8.0,4.0,0.0,28.329381850668316,39.0,0.0,4,4,0,1,29,23
29,3.0,87.0,6.0,4.0,0.0,22.0,28.0,0.0,0,1,2,1,30,37
30,121.0,4.0,1.0,4.0,0.0,20.0,35.0,1.0,5,4,2,1,31,39
31,127.0,34.0,0.0,4.0,0.0,30.0,33.0,0.0,5,4,2,1,32,23
38,91.0,184.0,3.0,2.0,0.0,30.0,40.0,1.0,4,4,0,0,39,23
39,-27.0,272.0,0.0,2.0,0.0,4.0,47.0,1.0,0,5,1,0,40,23
40,-176.0,66.0,11.0,3.0,0.0,12.0,38.0,0.0,2,4,0,0,41,23
41,7.0,4.0,10.0,3.0,0.0,13.0,20.0,1.0,0,0,4,0,42,33
42,150.0,133.0,8.0,3.0,0.0,59.0,40.0,1.0,4,4,0,0,43,23
43,49.0,15.0,8.0,3.0,0.0,29.0,25.0,0.0,0,1,4,0,44,23
45,-4.0,4.0,3.0,3.0,0.0,21.0,20.0,1.0,0,0,4,0,46,33
46,-4.0,74.0,2.0,3.0,0.0,55.0,35.0,0.0,0,0,4,0,47,1
47,1.0,9.0,2.0,3.0,0.0,28.329381850668316,20.0,1.0,0,0,4,0,48,4
48,121.0,120.0,4.0,4.0,0.0,55.0,37.0,1.0,4,0,0,0,49,23
50,1.0,9.0,1.0,4.0,0.0,8.0,20.0,0.0,0,0,4,0,51,33
51,-12.0,9.0,1.0,4.0,0.0,6.0,21.0,0.0,0,0,4,0,52,33
